n,rep,alpha,lambda,theta
100,3,2.691283670581219,2.986514748480363,2.8825941308808507
100,4,3.1266587922668188,3.091898509113023,3.00470266945597
100,5,1.9664666234002883,2.581258564926284,2.3483023491926267
100,6,2.27860989024117,2.7784676802181494,2.624123071725615
100,7,2.6642098385772837,2.959363377887138,2.8770310947418714
100,8,2.345941553065506,2.9885773240126183,2.809456740113998
100,9,2.3759920836478203,3.085068839442483,2.9031294088725867
100,10,2.024640842136532,2.7602892140770767,2.5218127996899864
100,11,2.348461806671597,2.876813117256317,2.696495140698033
100,12,1.9233271912448915,2.7583514869743775,2.5362520153862436
100,13,2.053836753120378,3.0977071519957486,2.889777969533537
100,14,2.0909600289228427,2.6587133875565496,2.4861612854711566
100,15,2.093422321351073,2.612359401182544,2.451392041661144
100,16,2.4768403233453755,2.8379199709180902,2.697140837306216
100,17,2.6024051128939933,2.8345406608675936,2.706296673583999
100,18,2.4711370607450434,2.9141198620731292,2.7895467533332376
100,19,3.030969917888809,3.6505483700414514,3.5835514573905813
100,20,2.69546886283579,3.2967067541239334,3.1775686608141505
100,21,2.4035284267987755,2.895931247229936,2.7366396733097753
100,22,2.03157297020229,2.5431615309285545,2.3591662260858333
100,23,1.896296261957777,2.4992357801149017,2.3225715902368265
100,24,2.4048297967111005,2.932387516661135,2.778833686168749
100,25,2.1363710949255195,2.653637162470365,2.491131251154889
100,26,2.5027095113873474,3.0455126558603993,2.922298166809879
100,27,2.0380187784168435,2.7652747700010827,2.551756486574792
100,28,2.40437437201121,2.936836156507518,2.7937732758018554
100,29,1.9241586896646259,2.6940466947821404,2.5089389946032874
100,30,2.2016580412821427,2.992677993972239,2.8913007654390235
100,31,2.9756383695745154,3.1137699872339177,3.0258364012024255
100,32,1.794226937911856,2.6236443072940814,2.400154861153639
100,33,2.5551790035683544,3.3987032671090325,3.2779185730240314
100,34,3.10435461249868,3.267509632543688,3.1617210657873787
100,35,1.9835248006959358,2.7365792222987966,2.501414410191328
100,36,2.06400105250827,2.7150420642919935,2.5441119423580254
100,37,1.9748152826671528,2.4981531584828764,2.324912369554275
100,38,3.2517298180421625,3.263817419882799,3.190001739209272
100,39,2.508793459846192,3.175361084444195,3.003583609926125
100,40,1.773362641084275,2.550404213990181,2.2898524963575286
100,41,2.329434400439015,3.0442342580059547,2.9000012343053556
100,42,2.2533777812001867,3.0399755195543143,2.8145113125687886
100,43,2.2809012602275778,2.86840004072405,2.6545408079452115
100,44,3.2511323665762553,3.490786741005263,3.428090527424948
100,45,2.067409471265405,2.727604585306873,2.5276018506631233
100,46,2.6823114255877214,3.3555150361238097,3.262366081095364
100,47,3.0544767306337386,3.3044686636460296,3.2071466743069226
100,48,2.1854669477915314,2.704767882028241,2.517728003780344
100,49,2.769624132520504,3.295940835093914,3.1919049508083424
100,50,3.2843452311135906,3.304090445316301,3.2451831585695894
100,51,2.0772063436631294,2.680103191534456,2.4864144473007177
100,52,1.8694872457653522,2.445178722097816,2.259866607262685
100,53,2.9773846003182234,3.169689076612415,3.063989319722701
100,54,2.767395271704286,3.1641859906827365,3.0315621590693373
100,55,2.6869150763014646,2.9475718470330885,2.8452360196439885
100,56,2.358380214091293,2.5930937551452122,2.4550031925609486
100,57,2.665234815941448,3.453782236195787,3.3729450793802713
100,58,2.785735885218393,3.2203473517956596,3.08969071050253
100,59,1.5302031328696661,2.193945951349397,1.943835375480318
100,60,2.9161235777560863,3.0552952597236485,2.955421859155039
100,61,1.7579973644189673,2.7284924317133923,2.434671901642808
100,62,2.2026921437595663,2.661446263700453,2.474404724818501
100,63,3.2626575381800627,3.170135101873139,3.1102122246112613
100,64,2.367710211294299,3.0118354306522623,2.885942632366536
100,65,2.3358996947242474,3.008524604954085,2.872134679838154
100,66,2.233420848148734,2.7732762418250703,2.67356654700056
100,67,2.1345859237648273,2.766409514495089,2.64114895699355
100,68,2.7872700792521186,3.052079114816937,2.9596454099800584
100,69,1.7209306596650131,2.530154609181475,2.3093595179550452
100,70,2.5214345798170266,2.808108586599411,2.666614194033547
100,71,1.955168159550107,2.4917229120748585,2.33718197639036
100,72,2.807435708400624,3.14652601507296,3.0244281622512914
100,73,1.9866220791049618,2.697933835579462,2.4830030158301435
100,74,1.9462422336210652,2.47251236024554,2.2576283424436405
100,75,1.639117076383664,2.8649666320447507,2.633304190989988
100,76,2.516661551357107,3.035441339548879,2.9085061542645865
100,77,1.6989586235812952,2.361783527437689,2.1371471741406247
100,78,1.8128269174963692,2.6445105932999886,2.4567082169572347
100,79,3.141047532702825,3.1185414985002176,3.0545236131508102
100,80,2.1565566422766524,2.5819102788530324,2.413849241971423
100,81,1.883019852776189,2.48843035457733,2.240168635154168
100,82,2.28948417781862,2.703828344245971,2.5847874054063866
100,83,1.9972670371813632,2.668030967408492,2.424178070359147
100,84,2.6618564924799526,2.9988053494944475,2.866620684548319
100,85,2.985344261986319,3.250927410392386,3.168851361950275
100,86,2.275480933558716,2.6580779199910882,2.4856349261650728
100,87,1.9260897749684298,2.5135651773181014,2.2894859513940995
100,88,2.2465333092583464,2.8033777773086026,2.6280759563348783
100,89,1.5638329492246292,2.4855187890441752,2.1994748704360894
100,90,1.8519094059897907,2.67272170825842,2.432398208675029
100,91,2.2273366173877633,2.5977334023259715,2.4355033134970037
100,92,2.5697959609026575,3.1687837195815027,3.0021064341894985
100,93,2.5017692102753855,3.013777667496433,2.855800656466521
100,94,1.6315485590981111,2.6203922599386167,2.364736220215844
100,95,1.8664471721305071,2.4601766677638217,2.251108812675844
100,96,2.9598500885078556,3.5508384690008543,3.4869455533859677
100,97,2.0511113661064857,2.872735378552955,2.608204818442905
100,98,3.0155432811404155,3.365987231542908,3.283328087269627
100,99,2.555506212981217,2.7626000491579443,2.6349669481633664
100,100,1.9554429565593632,2.434402107123058,2.2660122970207315
100,101,2.2467950998700923,2.738466118478726,2.5797523062923413
100,102,2.311852439968995,2.6816434274885586,2.5238514138249455
100,103,2.562185706835352,3.1857326853895787,3.0949012626348043
100,104,2.990034313439077,3.461938615355004,3.390138637492145
100,105,2.925782207576109,3.0794925192458082,2.9937264839230164
100,106,2.9536269555150185,3.070349499611996,2.952326427587122
100,107,2.151959849217513,2.914880617850765,2.768930470863101
100,108,1.9794216681768972,2.671530409952133,2.4933009840094025
100,109,2.4591020873927065,3.2202594702674303,3.1055470762597
100,110,3.342645070663789,3.465746628957382,3.417918778009981
100,111,2.3830510370799565,2.804333245047111,2.64236298220084
100,112,1.9720528324015207,2.2814641497579005,2.1514366228456434
100,113,3.6517027609788313,4.063732910271052,4.087306876290616
100,114,2.15980397339074,2.493749865381896,2.335929588931668
100,115,2.483139865472637,2.9763564908321256,2.8728638292425885
100,116,2.695321904416033,2.909093931972683,2.78021895624139
100,117,2.5736538839936824,3.0022644907023572,2.865464522436028
100,118,2.746817047626456,2.8988893510280906,2.817048244956197
100,119,2.070711471715848,2.479291443693504,2.30491962318151
100,120,2.69936033624514,3.0178856404744856,2.90736722722591
100,121,1.971767942276352,2.465346022010347,2.273106924840894
100,122,2.416545180400474,2.846419435157744,2.669518928827124
100,123,2.186260974943302,2.883954337181621,2.780255546740474
100,124,2.3474117215828483,2.642318045551152,2.494821148288527
100,125,3.0541009476132004,3.0980466327848677,3.028353592303157
100,126,2.0146977074820507,2.666689174928935,2.4426112767550814
100,127,2.0196849040542046,2.460609626288388,2.311842452336654
100,128,2.0162156209191258,2.790122916135763,2.5750642150992435
100,129,1.6928990835363387,2.410724386260341,2.177324178842022
100,130,2.61549273843155,3.033919241155301,2.869059498541027
100,131,2.2938515235287236,3.163748865044913,3.0109233380486415
100,132,2.3371038067801626,3.0241842362423372,2.819064504359693
100,133,2.3766398880363497,2.9383919564391054,2.777793325989545
100,134,2.881445574148308,3.2312827885470314,3.114407855505534
100,135,3.2662198814784906,3.4718372546277543,3.4083808197710237
100,136,1.823721419837404,2.6726260392991574,2.504875432962018
100,137,2.864954053151851,2.984311169535076,2.897558967034024
100,138,2.6055694889213723,3.1005955819648534,2.9884455856468395
100,139,1.6968858652870438,2.6047981784019187,2.341499964460175
100,140,1.8928108534155186,2.6817019097188073,2.4480679303287083
100,141,2.470780138101303,3.0999643980406875,2.940782981141672
100,142,2.3168277441018508,2.8605306902772867,2.7250317802702244
100,143,2.332685032341143,2.92198145104656,2.742536824254372
100,144,2.6645399382399573,2.7634878257572404,2.6570421172567733
100,145,3.175831956077311,3.1512592584336208,3.0851452329873137
100,146,2.2775393789903453,2.9115604508787776,2.7235516190914546
100,147,1.8808402381485647,2.420754480996909,2.2066356516719345
100,148,2.879825943595067,3.283242938791273,3.2005350475684935
100,149,2.474957208492904,2.7920956595305686,2.701398106916013
100,150,2.5377869267255675,3.22052038243341,3.088532559147912
100,151,1.603548498638725,2.436412580986434,2.158535841885086
100,152,2.6552484400629717,2.8902637885295848,2.787368157219635
100,153,2.916907118848754,2.9029582068079494,2.821904055765076
100,154,2.8780247893076196,3.2561394919813367,3.1467776175686573
100,155,2.1604612945292123,2.700293895111319,2.550046344110687
100,156,1.710604652168623,2.3995696805870668,2.140300635279456
100,157,1.941108477115252,2.742468860086604,2.5913416283951305
100,158,2.158467361623072,2.701689199220747,2.5346276877128995
100,159,2.7469970057996704,2.893891280319456,2.792369948114067
100,160,2.166093772183159,2.5998433663806226,2.40336273682683
100,161,2.7212879733954596,2.8255383150270372,2.7261700438302636
100,162,1.7297490011458214,2.4805212498485223,2.211973516172812
100,163,1.687772839408327,2.5004635091232488,2.234680099785632
100,164,2.2680785076245806,2.929329549017812,2.7193850041084695
100,165,2.376623708504179,3.02650704431886,2.8293604873739215
100,166,2.260540498895151,2.7991261436670363,2.644278316311832
100,167,3.1639577575799653,3.2601568167747392,3.2139771128666212
100,168,2.5523523433080517,2.7050714902547273,2.6008843441774263
100,169,2.387068352278677,3.102164447888976,2.9474555008508934
100,170,1.9117486463461157,2.9019291694731115,2.631062766136505
100,171,1.6731469286062994,2.1918390785742816,2.010917388506613
100,172,2.319952171573633,2.816312399999217,2.66159553330124
100,173,2.4495852015854283,3.02414109623621,2.8404938320106026
100,174,1.9911925319659465,2.5297860152454,2.333593872857942
100,175,2.493556157513815,2.902196270511904,2.7926363777315877
100,176,2.08475814984061,2.911676260598961,2.7324792677638796
100,177,2.559923889345256,3.277630075861753,3.151375224323783
100,178,1.7204335222219689,2.434208208379466,2.1859044033148938
100,179,2.439699595503396,3.003508144181793,2.8929903923728966
100,180,1.7052707800565803,2.3199847701650986,2.0901986870973994
100,181,1.9499993156732938,2.6502112951874923,2.463745196063664
100,182,2.2089843993432527,2.732871829395208,2.578859581096797
100,183,2.5344711083267746,2.915588862026221,2.749024962771236
100,184,2.1935026341202497,2.6686136692428137,2.50374246561434
100,185,2.346837136094842,2.9837192800020143,2.8002390861360684
100,186,1.919318189879584,2.487523884694813,2.281238386946825
100,187,2.86325247287181,3.3567970248730377,3.292259638552539
100,188,1.9158823597998231,2.596068370931732,2.3633519267586607
100,189,2.4201390862860603,2.6089801003739774,2.4898045426160427
100,190,2.6166715889764744,2.8036856945901896,2.6760491055906956
100,191,2.0822722759789825,2.8110020066160817,2.6168696687446906
100,192,1.6405261630603465,2.442282197198316,2.151000506681752
100,193,2.2204183332307252,2.527426582927171,2.3652418827008486
100,194,2.0645897085382114,2.7944838935089886,2.638762976328082
100,195,2.9348745958932447,3.523408008860144,3.417612759890824
100,196,2.54895331951617,2.98028532025295,2.8428833341112782
100,197,2.282096036155642,2.8954910150467557,2.719314162242674
100,198,2.6039949671026092,3.0188811097784702,2.890745703100126
100,199,2.1124912682983195,2.803751978663935,2.592350126029354
200,0,2.6807175396498355,2.875226677354673,2.7762589949223444
200,1,2.4392663201735125,2.870458695448107,2.718535354401283
200,2,2.142284237171297,2.6276363949997883,2.4708883092428136
200,3,3.05205422437619,3.2899184427690757,3.1947432923421535
200,4,2.1586562363065713,2.6978787104501336,2.5205804989112655
200,5,2.2888804250118184,3.028258886677762,2.852678110524108
200,6,2.573214000288184,2.8306838786714876,2.7104147038030453
200,7,2.2939752017879895,2.759919065397108,2.599790634556504
200,8,2.1985624615799737,3.0296725881470934,2.8446749999748757
200,9,2.098146379893548,2.6389950450465576,2.436329465264436
200,10,2.9064248855063135,3.1924374945026956,3.0945605697464016
200,11,2.0437775420725948,2.727558039811645,2.550241020253077
200,12,2.328161441720969,2.9531023072714104,2.764322033524548
200,13,2.162960874740512,2.7911701478258273,2.574417624758658
200,14,2.530971792418502,2.9722964806566785,2.8484567753445114
200,15,2.3636637690107407,2.904548196397397,2.7476825067394435
200,16,2.386386423588528,2.887300151955564,2.718553254626573
200,17,2.179648292501582,2.921014303221064,2.7646348213000036
200,18,3.2509736282725323,3.4461729302159405,3.363484011129485
200,19,2.5842647452668444,2.886040960264015,2.7360396732618857
200,20,1.9536501456723223,2.4695692294269773,2.299478592020667
200,21,2.4558241650740564,2.895163067830649,2.722726834121559
200,22,2.3444122932249654,2.966512500169846,2.8522562658616293
200,23,2.738922389253894,3.0523401768111094,2.9553228615096447
200,24,2.4849271769291117,3.1308766126639282,2.9809944910108084
200,25,1.7676637853519448,2.5529643321276136,2.31164711644659
200,26,2.1668797236743704,2.943922260783238,2.725115915012506
200,27,2.7320908800775254,3.1475560602013775,3.026175217512569
200,28,2.526454386167217,2.929157129498842,2.805157889951505
200,29,2.3822862427569773,2.9042636364449557,2.7371473840287197
200,30,2.338652764349414,2.8785448116689225,2.6993204322885083
200,31,2.1760338828901764,2.688819777377044,2.5046847893685285
200,32,2.244471929246784,2.9711785181178936,2.771256990616871
200,33,2.5564624331324413,2.9614362796868297,2.8317856656395857
200,34,2.235102706590732,2.748214182141463,2.5726863448386594
200,35,1.9620558086331827,2.4929596808396877,2.302773560102624
200,36,2.0776674688519563,2.7913427339449877,2.5939979330880054
200,37,2.300997187427063,2.684969703311804,2.540325882513415
200,38,2.041865268094278,2.7290826635445846,2.516899819241294
200,39,2.2061286753293263,2.6531400857839547,2.4952015399195746
200,40,2.1067391269285256,2.70628332899317,2.5132632096659617
200,41,2.452417170086392,2.9786156925333556,2.8223922401180035
200,42,2.274502691343866,2.7507769715381913,2.579547205652218
200,43,2.5948895241210628,2.8317125784481334,2.7130966008679662
200,44,2.6238386120463084,2.923217896672287,2.7995741708657698
200,45,2.3903944665120296,2.799629245900287,2.6732726737166117
200,46,2.26329345027193,2.8068776594875398,2.636406561012849
200,47,2.1282452164652934,2.6919345068599045,2.5488519083340866
200,48,2.2074982574506934,2.675116628079711,2.5247285194081317
200,49,3.1452438539401375,3.1161348984013624,3.027383814481263
200,50,2.543222899647808,3.1889928252129796,3.0521394350970485
200,51,2.415885050286007,2.8396453675277478,2.7173926818008307
200,52,2.1547542962364705,2.5934817118494395,2.4352923096972674
200,53,2.596242900028815,3.0245163934163557,2.8907592473658497
200,54,2.35194172768025,2.9196530803426777,2.770794765985072
200,55,2.1717132229072815,2.6747909187474326,2.49940538993294
200,56,2.1883073860512945,2.734168437034267,2.568731300182273
200,57,1.9695141569782244,2.6781968101845557,2.4727019869477385
200,58,1.7540779444177652,2.506404605423685,2.275185956624764
200,59,2.1874021694113077,2.6297212251068207,2.479623362658356
200,60,2.240531308422703,2.6153117996671775,2.46414172627822
200,61,2.878452241251785,3.1762363072342437,3.0965941735947142
200,62,2.9512839304545486,3.1430759106469743,3.057318118322465
200,63,2.2059582451905135,2.799320397624736,2.6546453692176817
200,64,2.1456251213708057,2.910977796547606,2.7244724608935034
200,65,1.9820040585692158,2.879801223447418,2.6718253773983864
200,66,2.0857670029293565,2.5675421001729632,2.3707519118431466
200,67,2.7032624527193345,3.0510954698701496,2.9285647939807835
200,68,2.8606713329816134,3.3171601356320464,3.2328730800056706
200,69,2.015086064162552,2.6861283437317103,2.4739075647549686
200,70,2.1326503232856067,2.624275687264306,2.4473658609057054
200,71,2.47718203428469,2.738616494803395,2.6110673936501723
200,72,2.041317769412782,2.7526097642564924,2.5921533062730577
200,73,2.419540664706407,2.8004795960623072,2.6584676096803856
200,74,2.194503263291058,2.7505985103283317,2.5842506135358225
200,75,2.2936559482135714,2.900749185804416,2.722281804611357
200,76,2.4951024005920175,2.925935981621488,2.7808242631939657
200,77,1.9618742489596699,2.5342475706541605,2.335892597520291
200,78,2.3266330765581302,2.9202283924472963,2.747043593032428
200,79,3.2721685057297503,3.2399877469601357,3.195139523570196
200,80,2.3402002751100444,2.8427890384356758,2.7067213330932187
200,81,2.2998703763112767,2.78126999696054,2.634592073307906
200,82,2.52944437874867,2.8798833878953776,2.754403402704327
200,83,2.5703188753712682,2.9416409164707606,2.811249565013894
200,84,1.9316210977774635,2.662327873847395,2.459608224460912
200,85,2.6227181077448027,2.847452579864113,2.7317722533969735
200,86,1.7692629409938734,2.4896207437382603,2.253539461110733
200,87,2.2602252641908067,2.8792638273069024,2.701943316545593
200,88,2.1286885516869685,2.8490292550669345,2.720117023666982
200,89,2.271809421029751,3.0655057924164457,2.8486808626684974
200,90,1.6804435639593611,2.4141585015795504,2.178701505697659
200,91,2.1139629391383528,2.6333340752801844,2.47689952124832
200,92,2.5683539433857456,3.170735340691648,3.0124764387839367
200,93,2.421212676121304,2.8912905003280054,2.7329677902483174
200,94,2.330384362012742,2.6883805814213484,2.566732464690529
200,95,1.7797744001095241,2.6329204162477953,2.3732881044440255
200,96,2.1263963878823295,2.688656169809751,2.5187701087605907
200,97,3.0712358792728294,3.3449685617423515,3.2637002435908817
200,98,2.25044537675853,2.7950050719046193,2.648152239861663
200,99,2.1869714220763776,2.806279750682756,2.623194836763504
200,100,1.9205928741252793,2.597105852489432,2.3848306528405656
200,101,2.4717999594705033,2.754050770763472,2.6265462874438024
200,102,1.8061815714653935,2.5521165098941423,2.3287680567447118
200,103,2.467614264789844,2.935104073170227,2.7682932433191563
200,104,2.7919541089795645,3.20166898960402,3.0830960009287547
200,105,2.346408601906635,2.7786286753827136,2.620502833430603
200,106,2.115004245679528,2.6601799401506123,2.483104046216752
200,107,2.759968118695693,3.0058638032296563,2.880540162327388
200,108,2.099561675337318,2.7136003394956614,2.523240570162521
200,109,2.0910549482866867,2.7300685737179724,2.5400142554025136
200,110,2.2685900274020305,2.8125666119180726,2.6527417574587884
200,111,2.853010168119163,3.3769126726787473,3.2938200410645737
200,112,2.1215906718257203,2.7232279959065817,2.562108498879898
200,113,2.3344057850002566,2.774134242509809,2.616982038732105
200,114,2.470734238668324,2.941131816082471,2.7880074195878732
200,115,3.330002271628295,3.4561193562663557,3.391208088897149
200,116,2.1851451653276883,2.7801199032976283,2.585091059044008
200,117,2.656583572927673,2.9118875018841393,2.779223500596869
200,118,2.0251203449085615,2.8333070833039504,2.645758775205028
200,119,1.8912475216063114,2.6405712032718673,2.413922747080425
200,120,2.500843980737843,3.0325443068394833,2.892134632904226
200,121,2.422436010729824,2.839337684699718,2.6918084229015027
200,122,2.3914808644585244,2.8604241579398164,2.714228760032486
200,123,2.552845447526103,3.232570047098083,3.106466375395919
200,124,1.9627829705253268,2.6052169720986575,2.4321756872585407
200,125,2.9512857853608874,3.0144230332753943,2.9289777675984294
200,126,2.4517339617233183,2.9822319871819163,2.8546258037652663
200,127,2.4062003337247937,2.8111804219766627,2.686645894295434
200,128,2.07638118883198,2.6141654832823127,2.422735860920007
200,129,1.9480699655191804,2.4961767243337865,2.317088050711183
200,130,2.293619367054543,2.963996639936106,2.8304325510731894
200,131,2.6182731849864007,3.1721588632778768,3.0481477156969383
200,132,2.5322130340717495,2.910854905285446,2.769570280606713
200,133,1.8509721757789297,2.7187687422236824,2.4843498342747163
200,134,2.37815073154112,2.810565502254924,2.6731708547161803
200,135,2.3883467565461043,2.9133933376945875,2.7715273614370757
200,136,2.148551287445914,2.665722582956949,2.492543288973114
200,137,2.3381243577684754,2.7693146413768615,2.6149493377395436
200,138,2.1128541539378434,2.601304930073152,2.4433447472226955
200,139,2.4627529462393327,3.1168347757440893,2.9542500890221994
200,140,2.595044223750498,2.8818539119276068,2.7554076158438106
200,141,2.274355257716239,2.6440146130566666,2.494147147641849
200,142,2.685234961956408,3.1045203970247797,2.973465536601989
200,143,2.521492475513063,2.9188120230397256,2.7734611342137585
200,144,2.648517226872893,3.2341117271837456,3.098219309447235
200,145,2.5867104641486907,2.977427817795699,2.8390982087144243
200,146,2.8533817177882685,3.2158085832266567,3.143180987539952
200,147,2.186869640900674,2.70980914913454,2.5367311619179396
200,148,3.48722648384194,3.3967250265193787,3.3666688991544427
200,149,2.170711808727084,2.5646839030694704,2.4307069312626695
200,150,2.0564481489160773,2.6487851617901303,2.454574880551358
200,151,2.0599734109812315,2.659157932396213,2.4292601279143358
200,152,2.5581377482286713,3.010444674449184,2.869234280133662
200,153,2.365427583908876,2.9697519172937055,2.8091260646197873
200,154,2.4643849479127455,2.910653200103953,2.768545873467368
200,155,2.301743870884765,2.6487871465979844,2.493714673894282
200,156,2.3838775455710985,2.7604939852491372,2.617508067722233
200,157,2.222033748277963,2.694737257677168,2.519418734787422
200,158,1.9776135233019778,2.654388266411409,2.4398169587169147
200,159,1.384110358352441,2.2754714572415815,1.9242472327055913
200,160,2.204679883855789,2.9269761893074295,2.7473259574410394
200,161,2.317453404405997,2.7724772197981724,2.5979830046344827
200,162,2.049172455726492,2.681215047026649,2.504713437623379
200,163,1.8430923743369592,2.5569994214278133,2.3192624893373828
200,164,2.100288083237596,2.630885572730176,2.455265435477385
200,165,2.7583396772504027,3.0960778227920858,3.005686003031741
200,166,2.8428003658863386,2.967220509007188,2.8769906548960003
200,167,2.587777884215411,2.860646208528367,2.7718191167926713
200,168,1.7506840516910724,2.4430692072996556,2.207370668961338
200,169,3.234579992567441,3.5011266408859743,3.4644408284274206
200,170,2.2928313698831557,2.6930693138858546,2.5528552909702094
200,171,2.7000468321868922,3.1609636895030104,3.0585105312149117
200,172,1.8581191826222834,2.456400871455283,2.265880414879651
200,173,2.4955279016442065,2.9748182873525493,2.835303987314397
200,174,2.605760953580046,2.9009749819132957,2.800288914107551
200,175,2.274699445507291,2.847591635029833,2.684670784815522
200,176,2.750920614230545,3.1291857497302544,3.022165427910045
200,177,2.7220990745535345,3.1125797565169337,3.0011450734785754
200,178,1.8544462104074584,2.5246025254570976,2.2943338102929602
200,179,2.436007258243835,2.7842554340488816,2.628101930495222
200,180,2.179106395208196,2.6431379002773965,2.477689290709146
200,181,2.9374896838218936,3.2035228842054235,3.1148368573969822
200,182,1.8895006938732317,2.6674750878872744,2.4674531910233006
200,183,1.938650941440478,2.6255644954464508,2.4185036219579423
200,184,2.3704422759200527,3.0154333974372043,2.8726232037680246
200,185,2.7316161020708725,3.0501151753649887,2.942033878547653
200,186,2.7155992229799937,3.049962356463619,2.9655007999204095
200,187,2.2339506667704065,2.648286485509914,2.4963234422515725
200,188,2.4356210052151277,2.774816560726092,2.637965015898254
200,189,2.5188795227459653,3.0173338299662884,2.8874377910162106
200,190,2.532687352561586,2.9428394709368515,2.8098994852690744
200,191,2.2461149065857344,2.7336362662118154,2.5662652913283623
200,192,2.99843405133942,3.320975169045466,3.2493042918571584
200,193,2.4481922225483395,2.9221173262230957,2.762235673667124
200,194,2.2120131372333383,2.7619920424793563,2.5737330369334583
200,195,2.0553389339316337,2.7037057564631715,2.503932218933119
200,196,2.26036393271606,2.9066391183726386,2.71928113531047
200,197,2.2207000492479336,2.783512968913763,2.6025246083943485
200,198,2.0777053374251073,2.6477936089926253,2.461566813237234
200,199,2.5664760159022455,3.0570254148402296,2.9227059526026617
